 0.00000E+00 9.00000E+00    2251 4.00000E-03
 LogT          HIci          HeIci         HeIIci        HIIrcA        HeIIrcA       HeIIIrcA      HIIrcB        HeIIrcB       HeIIIrcB      HeDrc         HIIrccA       HeIIrccA      HeIIIrccA     HIIrccB       HeIIrccB      HeIIIrccB     HeDrcc        HIcic         HeIcic        HeIIcic       He23cic       HIcec         HeIcec        HeIIcec       
               cen92         cen92         cen92         cen92         cen92         cen92         hui97         hui97         hui97         cen92         cen92         cen92         cen92         hui97         hui97         hui97         cen92         cen92         cen92         cen92         cen92         cen92         cen92         cen92         
 1.56000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.60042E-10   1.19395E-10   1.04017E-09   9.30295E-11   1.99829E-10   4.24308E-10   0.00000E+00   3.85731E-26   1.76695E-26   1.54292E-25   1.64303E-26   3.95133E-26   2.96090E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.60000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.58371E-10   1.18698E-10   1.03348E-09   9.25197E-11   1.98454E-10   4.21998E-10   0.00000E+00   3.86798E-26   1.77290E-26   1.54719E-25   1.64926E-26   3.96044E-26   2.97232E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.64000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.56710E-10   1.18005E-10   1.02684E-09   9.20127E-11   1.97088E-10   4.19700E-10   0.00000E+00   3.87868E-26   1.77886E-26   1.55147E-25   1.65550E-26   3.96957E-26   2.98378E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.68000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.55061E-10   1.17317E-10   1.02024E-09   9.15084E-11   1.95731E-10   4.17415E-10   0.00000E+00   3.88941E-26   1.78485E-26   1.55576E-25   1.66177E-26   3.97872E-26   2.99528E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.72000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.53421E-10   1.16633E-10   1.01369E-09   9.10068E-11   1.94383E-10   4.15142E-10   0.00000E+00   3.90017E-26   1.79085E-26   1.56007E-25   1.66806E-26   3.98789E-26   3.00682E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.76000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.51793E-10   1.15952E-10   1.00717E-09   9.05080E-11   1.93045E-10   4.12882E-10   0.00000E+00   3.91096E-26   1.79688E-26   1.56438E-25   1.67437E-26   3.99708E-26   3.01841E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.80000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.50174E-10   1.15276E-10   1.00070E-09   9.00118E-11   1.91716E-10   4.10634E-10   0.00000E+00   3.92177E-26   1.80293E-26   1.56871E-25   1.68070E-26   4.00630E-26   3.03004E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.84000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.48566E-10   1.14603E-10   9.94266E-10   8.95184E-11   1.90397E-10   4.08398E-10   0.00000E+00   3.93262E-26   1.80899E-26   1.57305E-25   1.68706E-26   4.01553E-26   3.04171E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.88000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.46969E-10   1.13934E-10   9.87875E-10   8.90276E-11   1.89086E-10   4.06174E-10   0.00000E+00   3.94350E-26   1.81508E-26   1.57740E-25   1.69344E-26   4.02479E-26   3.05343E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.92000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.45382E-10   1.13270E-10   9.81526E-10   8.85395E-11   1.87784E-10   4.03962E-10   0.00000E+00   3.95441E-26   1.82119E-26   1.58176E-25   1.69985E-26   4.03407E-26   3.06519E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
