 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   15.3840    4.0000   15.1114   14.9461    4.9688    2.8369    3.5870    5.2245  1.0000E-10     -0.0382  3.3414E-01
   15.3968    4.0000   15.1114   14.9351    4.9697    2.8782    3.5666    5.2390  3.9335E-04     -0.0382  2.6106E-01
   15.4093    4.0000   15.1114   14.9232    4.9707    2.9195    3.5462    5.2531  4.8557E-02     -0.0382  1.5921E-01
   15.4217    4.0000   15.1114   14.9104    4.9716    2.9609    3.5257    5.2670  5.9088E-01     -0.0382  6.8303E-02
   15.4338    4.0000   15.1114   14.8965    4.9725    3.0023    3.5052    5.2806  3.3218E+00     -0.0382  2.6439E-02
   15.4480    4.0000   15.1114   14.8785    4.9735    3.0240    3.4946    5.2966  6.7643E+00     -0.0382  1.6455E-02
   15.4622    4.0000   15.1114   14.8595    4.9746    3.0251    3.4944    5.3126  6.7173E+00     -0.0382  1.6224E-02
   15.4764    4.0000   15.1114   14.8403    4.9756    3.0261    3.4941    5.3286  6.6703E+00     -0.0382  1.5996E-02
   15.4907    4.0000   15.1114   14.8211    4.9767    3.0272    3.4939    5.3446  6.6233E+00     -0.0382  1.5768E-02
   15.5049    4.0000   15.1114   14.8017    4.9778    3.0282    3.4936    5.3606  6.5763E+00     -0.0382  1.5542E-02
   15.5191    4.0000   15.1114   14.7822    4.9788    3.0293    3.4933    5.3766  6.5293E+00     -0.0382  1.5318E-02
   15.5334    4.0000   15.1114   14.7626    4.9799    3.0303    3.4931    5.3926  6.4822E+00     -0.0382  1.5095E-02
   15.5476    4.0000   15.1114   14.7429    4.9809    3.0314    3.4928    5.4086  6.4352E+00     -0.0382  1.4874E-02
   15.5618    4.0000   15.1114   14.7230    4.9820    3.0324    3.4925    5.4247  6.3882E+00     -0.0382  1.4654E-02
   15.5718    5.0000   15.1114   14.7090    4.9827    3.0332    3.4924    5.4359  6.3551E+00     -0.0382  1.4501E-02
   15.5739    5.0000   15.1114   14.7060    4.9937    3.0421    3.4906    5.4359  6.3520E+00     -0.0382  1.3552E-02
