#       RADIUS          VC_TOT      PSIMAJ_TOT            PSI2
#
   10.100000       3.3895907      -20.033804     -0.13018550    
   10.125000       3.3888745      -20.005449     -0.12957110    
   10.150001       3.3881345      -19.977091     -0.12895671    
   10.175000       3.3874159      -19.948895     -0.12834463    
   10.200000       3.3866732      -19.920696     -0.12773255    
   10.225000       3.3859525      -19.892656     -0.12712210    
   10.250000       3.3852077      -19.864622     -0.12651165    
   10.275001       3.3844848      -19.836742     -0.12590665    
   10.300000       3.3837385      -19.808863     -0.12530164    
   10.325000       3.3830140      -19.781139     -0.12469641    
   10.350000       3.3822660      -19.753416     -0.12409117    
   10.375000       3.3815410      -19.725849     -0.12349200    
   10.400001       3.3807926      -19.698280     -0.12289280    
   10.425000       3.3800669      -19.670868     -0.12229868    
   10.450000       3.3793180      -19.643454     -0.12170456    
   10.475000       3.3785918      -19.616190     -0.12111415    
   10.500000       3.3778427      -19.588930     -0.12052374    
   10.525001       3.3771164      -19.561817     -0.11993724    
   10.550000       3.3763676      -19.534704     -0.11935073    
   10.575000       3.3756416      -19.507746     -0.11876766    
   10.600000       3.3748930      -19.480782     -0.11818462    
   10.625000       3.3741674      -19.453970     -0.11760855    
   10.650001       3.3734200      -19.427153     -0.11703249    
   10.675000       3.3726954      -19.400486     -0.11646149    
   10.700000       3.3719490      -19.373816     -0.11589047    
   10.725000       3.3712254      -19.347292     -0.11532564    
   10.750000       3.3704796      -19.320768     -0.11476082    
   10.775001       3.3697572      -19.294392     -0.11420189    
   10.800000       3.3690131      -19.268011     -0.11364295    
   10.825000       3.3682916      -19.241772     -0.11309188    
   10.850000       3.3675485      -19.215534     -0.11254081    
   10.875000       3.3668363      -19.189451     -0.11199850    
   10.900001       3.3661265      -19.163424     -0.11145618    
   10.925000       3.3654389      -19.137533     -0.11092030    
   10.950000       3.3647304      -19.111645     -0.11038440    
   10.975000       3.3640440      -19.085892     -0.10986146    
   11.000000       3.3633373      -19.060137     -0.10933851    
   11.025001       3.3626521      -19.034523     -0.10882266    
   11.050000       3.3619463      -19.008909     -0.10830681    
   11.075000       3.3612618      -18.983429     -0.10780412    
   11.100000       3.3605571      -18.957947     -0.10730143    
   11.125000       3.3598728      -18.932604     -0.10681124    
   11.150001       3.3591685      -18.907257     -0.10632105    
   11.175000       3.3584840      -18.882044     -0.10584632    
   11.200000       3.3577797      -18.856831     -0.10537159    
   11.225000       3.3570943      -18.831749     -0.10491073    
   11.250000       3.3563886      -18.806665     -0.10444987    
   11.275001       3.3557010      -18.781715     -0.10400493    
   11.300000       3.3549941      -18.756767     -0.10356000    
   11.325000       3.3543036      -18.731945     -0.10313410    
   11.350000       3.3535943      -18.707121     -0.10270822    
   11.375000       3.3529003      -18.682428     -0.10229948    
   11.400001       3.3521869      -18.657734     -0.10189076    
   11.425000       3.3514884      -18.633171     -0.10150233    
   11.450000       3.3507705      -18.608606     -0.10111390    
   11.475000       3.3500652      -18.584164     -0.10074649    
   11.500000       3.3493409      -18.559727     -0.10037907    
   11.525001       3.3486283      -18.535408     -0.10003331    
   11.550000       3.3478966      -18.511093     -0.99687561E-01
   11.575000       3.3471749      -18.486904     -0.99362120E-01
   11.600000       3.3464339      -18.462715     -0.99036656E-01
   11.625000       3.3457012      -18.438650     -0.98737247E-01
   11.650001       3.3449497      -18.414587     -0.98437831E-01
   11.675000       3.3442049      -18.390642     -0.98161817E-01
   11.700000       3.3434410      -18.366701     -0.97885810E-01
   11.725000       3.3426819      -18.342880     -0.97633645E-01
   11.750000       3.3419039      -18.319063     -0.97381473E-01
   11.775001       3.3411281      -18.295362     -0.97154424E-01
   11.800000       3.3403339      -18.271664     -0.96927375E-01
   11.825000       3.3395400      -18.248085     -0.96727178E-01
   11.850000       3.3387275      -18.224510     -0.96526988E-01
   11.875000       3.3379130      -18.201050     -0.96351281E-01
   11.900001       3.3370805      -18.177593     -0.96175581E-01
   11.925000       3.3362439      -18.154257     -0.96025929E-01
   11.950000       3.3353889      -18.130920     -0.95876284E-01
   11.975000       3.3345277      -18.107704     -0.95751688E-01
   12.000000       3.3336482      -18.084488     -0.95627084E-01
   12.025001       3.3327601      -18.061392     -0.95528685E-01
   12.050000       3.3318539      -18.038294     -0.95430270E-01
   12.075000       3.3309367      -18.015316     -0.95352888E-01
   12.100000       3.3300016      -17.992338     -0.95275499E-01
   12.125000       3.3290536      -17.969479     -0.95224693E-01
   12.150001       3.3280878      -17.946619     -0.95173880E-01
   12.175000       3.3271067      -17.923882     -0.95142089E-01
   12.200000       3.3261077      -17.901144     -0.95110297E-01
   12.225000       3.3250921      -17.878521     -0.95102072E-01
   12.250000       3.3240578      -17.855896     -0.95093846E-01
   12.275001       3.3230052      -17.833395     -0.95103204E-01
   12.300000       3.3219342      -17.810894     -0.95112562E-01
   12.325000       3.3208425      -17.788511     -0.95139503E-01
   12.350000       3.3197327      -17.766129     -0.95166437E-01
   12.375000       3.3186011      -17.743864     -0.95209628E-01
   12.400001       3.3174510      -17.721600     -0.95252827E-01
   12.425000       3.3162775      -17.699455     -0.95310181E-01
   12.450000       3.3150859      -17.677309     -0.95367521E-01
   12.475000       3.3138692      -17.655283     -0.95435411E-01
   12.500000       3.3126340      -17.633259     -0.95503286E-01
   12.525001       3.3113732      -17.611351     -0.95580891E-01
   12.550000       3.3100934      -17.589443     -0.95658481E-01
   12.575000       3.3087873      -17.567659     -0.95741563E-01
   12.600000       3.3074625      -17.545870     -0.95824644E-01
   12.625000       3.3061104      -17.524200     -0.95912479E-01
   12.650001       3.3047400      -17.502537     -0.96000321E-01
   12.675000       3.3033416      -17.480988     -0.96089512E-01
   12.700000       3.3019240      -17.459440     -0.96178725E-01
   12.725000       3.3004792      -17.438013     -0.96267104E-01
   12.750000       3.2990150      -17.416584     -0.96355498E-01
   12.775001       3.2975235      -17.395277     -0.96440636E-01
   12.800000       3.2960126      -17.373970     -0.96525788E-01
   12.825000       3.2944746      -17.352787     -0.96604042E-01
